school_name,address,postal_code,mainlevel_code
ADMIRALTY PRIMARY SCHOOL,11   WOODLANDS CIRCLE,738907,PRIMARY
ADMIRALTY SECONDARY SCHOOL,31   WOODLANDS CRESCENT,737916,SECONDARY
AHMAD IBRAHIM PRIMARY SCHOOL,10   YISHUN STREET 11,768643,PRIMARY
AHMAD IBRAHIM SECONDARY SCHOOL,751  YISHUN AVENUE 7,768928,SECONDARY
AI TONG SCHOOL,100  Bright Hill Drive,579646,PRIMARY
ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,159016,PRIMARY
ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,544969,PRIMARY
ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,569785,PRIMARY
ANDERSON SECONDARY SCHOOL,10   ANG MO KIO STREET 53,569206,SECONDARY
ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,JUNIOR COLLEGE
ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,569920,PRIMARY
ANG MO KIO SECONDARY SCHOOL,6    ANG MO KIO STREET 22,569362,SECONDARY
ANGLICAN HIGH SCHOOL,600  UPPER CHANGI ROAD,487012,SECONDARY
ANGLO-CHINESE JUNIOR COLLEGE,25   DOVER CLOSE EAST,139745,JUNIOR COLLEGE
ANGLO-CHINESE SCHOOL (BARKER ROAD),60   BARKER ROAD,309919,SECONDARY
ANGLO-CHINESE SCHOOL (INDEPENDENT),121  DOVER ROAD,139650,MIXED LEVELS
ANGLO-CHINESE SCHOOL (JUNIOR),16   WINSTEDT ROAD,227988,PRIMARY
ANGLO-CHINESE SCHOOL (PRIMARY),50   BARKER ROAD,309918,PRIMARY
ANGSANA PRIMARY SCHOOL,3    Tampines Street 22,529366,PRIMARY
ASSUMPTION ENGLISH SCHOOL,622  UPPER BUKIT TIMAH ROAD,678117,SECONDARY
ASSUMPTION PATHWAY SCHOOL,30   Cashew Road,679697,SECONDARY
BARTLEY SECONDARY SCHOOL,10   JALAN BUNGA RAMPAI,538403,SECONDARY
BEACON PRIMARY SCHOOL,36   Bukit Panjang Ring Road,679944,PRIMARY
BEATTY SECONDARY SCHOOL,1    TOA PAYOH NORTH,318990,SECONDARY
BEDOK GREEN PRIMARY SCHOOL,1    BEDOK SOUTH AVE 2,469317,PRIMARY
BEDOK GREEN SECONDARY SCHOOL,360  BEDOK NORTH AVE 3,469722,SECONDARY
BEDOK SOUTH SECONDARY SCHOOL,1    JALAN LANGGAR BEDOK,468585,SECONDARY
BEDOK VIEW SECONDARY SCHOOL,6    BEDOK SOUTH AVENUE 3,469293,SECONDARY
BENDEMEER PRIMARY SCHOOL,91   BENDEMEER ROAD,339948,PRIMARY
BENDEMEER SECONDARY SCHOOL,1    ST WILFRED ROAD,327919,SECONDARY
BLANGAH RISE PRIMARY SCHOOL,91   TELOK BLANGAH HEIGHTS,109100,PRIMARY
BOON LAY GARDEN PRIMARY SCHOOL,20   BOON LAY DRIVE,649930,PRIMARY
BOON LAY SECONDARY SCHOOL,11   JURONG WEST STREET 65,648354,SECONDARY
BOWEN SECONDARY SCHOOL,2    LORONG NAPIRI,547529,SECONDARY
BROADRICK SECONDARY SCHOOL,61   DAKOTA CRESCENT,399935,SECONDARY
BUKIT BATOK SECONDARY SCHOOL,50   BUKIT BATOK WEST AVE 8,658962,SECONDARY
BUKIT MERAH SECONDARY SCHOOL,10   LENGKOK BAHRU,159050,SECONDARY
BUKIT PANJANG GOVT. HIGH SCHOOL,7    CHOA CHU KANG AVE 4,689809,SECONDARY
BUKIT PANJANG PRIMARY SCHOOL,109  CASHEW ROAD,679676,PRIMARY
BUKIT TIMAH PRIMARY SCHOOL,111  Lorong Kismis,598112,PRIMARY
BUKIT VIEW PRIMARY SCHOOL,18   BUKIT BATOK STREET 21,659634,PRIMARY
BUKIT VIEW SECONDARY SCHOOL,16   BUKIT BATOK STREET 21,659633,SECONDARY
CANBERRA PRIMARY SCHOOL,21   ADMIRALTY DRIVE,757714,PRIMARY
CANBERRA SECONDARY SCHOOL,51   SEMBAWANG DRIVE,757699,SECONDARY
CANOSSA CATHOLIC PRIMARY SCHOOL,1    Sallim Road,387621,PRIMARY
CANTONMENT PRIMARY SCHOOL,1    Cantonment Close,88256,PRIMARY
CASUARINA PRIMARY SCHOOL,30   PASIR RIS ST 41,518935,PRIMARY
CATHOLIC HIGH SCHOOL,9    BISHAN STREET 22,579767,MIXED LEVELS
CATHOLIC JUNIOR COLLEGE,129  WHITLEY ROAD,297822,JUNIOR COLLEGE
CEDAR GIRLS' SECONDARY SCHOOL,1    CEDAR AVENUE,349692,SECONDARY
CEDAR PRIMARY SCHOOL,15   CEDAR AVENUE,349700,PRIMARY
CHANGKAT CHANGI SECONDARY SCHOOL,23   SIMEI ST 3,529894,SECONDARY
CHANGKAT PRIMARY SCHOOL,11   SIMEI ST 3,529896,PRIMARY
CHIJ (KATONG) PRIMARY,17   MARTIA ROAD,424821,PRIMARY
CHIJ (KELLOCK),1    Bukit Teresa Road,99757,PRIMARY
CHIJ KATONG CONVENT,346  MARINE TERRACE,449150,SECONDARY
CHIJ OUR LADY OF GOOD COUNSEL,2C   Burghley Drive,558979,PRIMARY
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,PRIMARY
CHIJ OUR LADY QUEEN OF PEACE,4    Chestnut Drive,679287,PRIMARY
CHIJ PRIMARY (TOA PAYOH),628  Lorong 1 Toa Payoh,319765,PRIMARY
CHIJ SECONDARY (TOA PAYOH),626  LORONG 1 TOA PAYOH,319764,SECONDARY
CHIJ ST. JOSEPH'S CONVENT,62   SENGKANG EAST WAY,548595,SECONDARY
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501  ANG MO KIO STREET 13,569405,MIXED LEVELS
CHIJ ST. THERESA'S CONVENT,160  LOWER DELTA ROAD,99138,SECONDARY
CHONGFU SCHOOL,170  YISHUN AVENUE 6,768959,PRIMARY
CHONGZHENG PRIMARY SCHOOL,1    TAMPINES STREET 21,529392,PRIMARY
CHRIST CHURCH SECONDARY SCHOOL,20   WOODLANDS DRIVE 17,737924,SECONDARY
CHUA CHU KANG PRIMARY SCHOOL,20   CHOA CHU KANG AVENUE 2,689905,PRIMARY
CHUA CHU KANG SECONDARY SCHOOL,3    TECK WHYE CRESCENT,688845,SECONDARY
CHUNG CHENG HIGH SCHOOL (MAIN),50   GOODMAN ROAD,439012,SECONDARY
CHUNG CHENG HIGH SCHOOL (YISHUN),11   YISHUN STREET 61,768547,SECONDARY
CLEMENTI PRIMARY SCHOOL,8    CLEMENTI AVE 3,129903,PRIMARY
CLEMENTI TOWN SECONDARY SCHOOL,10   CLEMENTI AVE 3,129904,SECONDARY
COMMONWEALTH SECONDARY SCHOOL,698  WEST COAST ROAD,608784,SECONDARY
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVAE STREET,545091,PRIMARY
COMPASSVALE SECONDARY SCHOOL,51   COMPASSVALE CRESCENT,545083,SECONDARY
CONCORD PRIMARY SCHOOL,3    CHOA CHU KANG AVE 4,689814,PRIMARY
CORPORATION PRIMARY SCHOOL,31   JURONG WEST STREET 24,648347,PRIMARY
CRESCENT GIRLS' SCHOOL,357  TANGLIN ROAD,247961,SECONDARY
CREST SECONDARY SCHOOL,561  JURONG EAST STREET 24,609561,SECONDARY
DAMAI PRIMARY SCHOOL,52   BEDOK RESERVOIR CRESCENT,479226,PRIMARY
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,SECONDARY
DAZHONG PRIMARY SCHOOL,35   BUKIT BATOK STREET 31,659441,PRIMARY
DE LA SALLE SCHOOL,11   Choa Chu Kang St 52,689285,PRIMARY
DEYI SECONDARY SCHOOL,1    ANG MO KIO STREET 42,569277,SECONDARY
DUNEARN SECONDARY SCHOOL,21   BUKIT BATOK WEST AVENUE 2,659204,SECONDARY
DUNMAN HIGH SCHOOL,10   TANJONG RHU ROAD,436895,MIXED LEVELS
DUNMAN SECONDARY SCHOOL,21   TAMPINES STREET 45,529093,SECONDARY
EAST SPRING PRIMARY SCHOOL,31   TAMPINES ST 33,529258,PRIMARY
EAST SPRING SECONDARY SCHOOL,30   TAMPINES STREET 34,529231,SECONDARY
EDGEFIELD PRIMARY SCHOOL,41   EDGEFIELD PLAINS,828869,PRIMARY
EDGEFIELD SECONDARY SCHOOL,36   PUNGGOL FIELD,828814,SECONDARY
ELIAS PARK PRIMARY SCHOOL,11   PASIR RIS STREET 52,518866,PRIMARY
ENDEAVOUR PRIMARY SCHOOL,10   Admiralty Link,757521,PRIMARY
EUNOIA JUNIOR COLLEGE,2    Sin Ming Place,573838,JUNIOR COLLEGE
EVERGREEN PRIMARY SCHOOL,31   WOODLANDS CIRCLE,738908,PRIMARY
EVERGREEN SECONDARY SCHOOL,11   WOODLANDS STREET 83,738489,SECONDARY
FAIRFIELD METHODIST SCHOOL (PRIMARY),100  DOVER ROAD,139648,PRIMARY
FAIRFIELD METHODIST SCHOOL (SECONDARY),102  DOVER ROAD,139649,SECONDARY
FARRER PARK PRIMARY SCHOOL,2    FARRER PARK ROAD,217567,PRIMARY
FENGSHAN PRIMARY SCHOOL,307  BEDOK NORTH ROAD,469680,PRIMARY
FERN GREEN PRIMARY SCHOOL,70   Fernvale Link,797538,PRIMARY
FERNVALE PRIMARY SCHOOL,1    Fernvale Lane,797701,PRIMARY
FIRST TOA PAYOH PRIMARY SCHOOL,7    LORONG 8 TOA PAYOH,319252,PRIMARY
FRONTIER PRIMARY SCHOOL,20   Jurong West Street 61,648200,PRIMARY
FUCHUN PRIMARY SCHOOL,23   WOODLANDS AVENUE 1,739063,PRIMARY
FUHUA PRIMARY SCHOOL,65   JURONG EAST STREET 13,609647,PRIMARY
FUHUA SECONDARY SCHOOL,5    JURONG WEST STREET 41,649410,SECONDARY
GAN ENG SENG PRIMARY SCHOOL,100  REDHILL CLOSE,158901,PRIMARY
GAN ENG SENG SCHOOL,1    HENDERSON ROAD,159561,SECONDARY
GEYLANG METHODIST SCHOOL (PRIMARY),4    Geylang East Central,389706,PRIMARY
GEYLANG METHODIST SCHOOL (SECONDARY),2    GEYLANG EAST CENTRAL,389705,SECONDARY
GONGSHANG PRIMARY SCHOOL,1    TAMPINES STREET 42,529176,PRIMARY
GREENDALE PRIMARY SCHOOL,50   Edgedale Plains,828848,PRIMARY
GREENDALE SECONDARY SCHOOL,51   EDGEDALE PLAINS,828866,SECONDARY
GREENRIDGE PRIMARY SCHOOL,11   JELAPANG ROAD,677744,PRIMARY
GREENRIDGE SECONDARY SCHOOL,32   BUKIT PANJANG RING ROAD,679938,SECONDARY
GREENWOOD PRIMARY SCHOOL,11   WOODLANDS  DR  62,737942,PRIMARY
GUANGYANG SECONDARY SCHOOL,8    BISHAN STREET 12,579807,SECONDARY
HAI SING CATHOLIC SCHOOL,9    PASIR RIS DRIVE 6,519421,SECONDARY
HAIG GIRLS' SCHOOL,51   Koon Seng Road,427072,PRIMARY
HENRY PARK PRIMARY SCHOOL,1    HOLLAND GROVE ROAD,278790,PRIMARY
HILLGROVE SECONDARY SCHOOL,10   BUKIT BATOK STREET 52,659250,SECONDARY
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,SECONDARY
HOLY INNOCENTS' PRIMARY SCHOOL,5    Lorong Low Koon,536451,PRIMARY
HONG WEN SCHOOL,30   TOWNER ROAD,327829,PRIMARY
HORIZON PRIMARY SCHOOL,61   Edgedale Plains,828819,PRIMARY
HOUGANG PRIMARY SCHOOL,1    HOUGANG ST 93,534238,PRIMARY
HOUGANG SECONDARY SCHOOL,2    HOUGANG STREET 93,534256,SECONDARY
HUA YI SECONDARY SCHOOL,60   JURONG WEST ST 42,649371,SECONDARY
HUAMIN PRIMARY SCHOOL,21   YISHUN AVENUE 11,768857,PRIMARY
HWA CHONG INSTITUTION,661  BUKIT TIMAH ROAD,269734,MIXED LEVELS
INNOVA PRIMARY SCHOOL,80   Woodlands Drive 17,737888,PRIMARY
JIEMIN PRIMARY SCHOOL,2    YISHUN STREET 71,768515,PRIMARY
JING SHAN PRIMARY SCHOOL,5    ANG MO KIO ST 52,569228,PRIMARY
JUNYUAN PRIMARY SCHOOL,2    Tampines Street 91,528906,PRIMARY
JUNYUAN SECONDARY SCHOOL,11   TAMPINES STREET 84,528933,SECONDARY
JURONG PIONEER JUNIOR COLLEGE,21   Teck Whye Walk,688258,JUNIOR COLLEGE
JURONG PRIMARY SCHOOL,320  JURONG EAST Street 32,609476,PRIMARY
JURONG SECONDARY SCHOOL,31   YUAN CHING ROAD,618652,SECONDARY
JURONG WEST PRIMARY SCHOOL,30   JURONG WEST ST 61,648368,PRIMARY
JURONG WEST SECONDARY SCHOOL,61   JURONG WEST STREET 65,648348,SECONDARY
JURONGVILLE SECONDARY SCHOOL,202  JURONG EAST AVENUE 1,609790,SECONDARY
JUYING SECONDARY SCHOOL,33   JURONG WEST STREET 91,649038,SECONDARY
KEMING PRIMARY SCHOOL,90   BUKIT BATOK EAST AVENUE 6,659762,PRIMARY
KENT RIDGE SECONDARY SCHOOL,147  WEST COAST ROAD,127368,SECONDARY
KHENG CHENG SCHOOL,15   LORONG 3 TOA PAYOH,319580,PRIMARY
KONG HWA SCHOOL,350  GUILLEMARD ROAD,399772,PRIMARY
KRANJI PRIMARY SCHOOL,11   CHOA CHU KANG STREET 54,689189,PRIMARY
KRANJI SECONDARY SCHOOL,61   CHOA CHU KANG STREET 51,689333,SECONDARY
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8    BISHAN STREET 13,579793,PRIMARY
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10   BISHAN STREET 13,579795,SECONDARY
LAKESIDE PRIMARY SCHOOL,161  Corporation Walk,618310,PRIMARY
LIANHUA PRIMARY SCHOOL,2    BUKIT BATOK STREET 52,659243,PRIMARY
LOYANG VIEW SECONDARY SCHOOL,12   PASIR RIS STREET 11,519073,SECONDARY
MAHA BODHI SCHOOL,10   UBI AVENUE 1,408931,PRIMARY
MANJUSRI SECONDARY SCHOOL,20   UBI AVENUE 1,408940,SECONDARY
MARIS STELLA HIGH SCHOOL,25   MOUNT VERNON ROAD,368051,MIXED LEVELS
MARSILING PRIMARY SCHOOL,31   WOODLANDS CENTRE ROAD,738927,PRIMARY
MARSILING SECONDARY SCHOOL,12   MARSILING ROAD,739110,SECONDARY
MARYMOUNT CONVENT SCHOOL,20   Marymount Road,297754,PRIMARY
MAYFLOWER PRIMARY SCHOOL,200  Ang Mo Kio Avenue 5,569878,PRIMARY
MAYFLOWER SECONDARY SCHOOL,2    ANG MO KIO STREET 21,569384,SECONDARY
MEE TOH SCHOOL,21   EDGEDALE PLAINS,828867,PRIMARY
MERIDIAN PRIMARY SCHOOL,20   PASIR RIS ST 71,518798,PRIMARY
MERIDIAN SECONDARY SCHOOL,31   PASIR RIS STREET 51,518901,SECONDARY
METHODIST GIRLS' SCHOOL (PRIMARY),11   Blackmore Drive,599986,PRIMARY
