facility_type,facility_name,longitude,latitude
hawker,Adam Road Food Centre,103.812833881556,1.32794886466998
hawker,Amoy Street Food Centre,103.847820429405,1.28108464345095
hawker,Bedok Food Centre,103.92918919889,1.32475054237912
hawker,Beo Crescent Market,103.827353892228,1.28883089150258
hawker,Berseh Food Centre,103.856888783497,1.30734410918998
hawker,Bukit Timah Market,103.776007306701,1.33945242854685
hawker,Chomp Chomp Food Centre,103.86652701738,1.36423252476886
hawker,Commonwealth Crescent Market,103.800432545798,1.30707478767354
hawker,Dunman Food Centre,103.901825408227,1.30941788760759
hawker,East Coast Lagoon Food Village,103.935137935777,1.30690573552745
hawker,Geylang Serai Market,103.89833997582,1.3171804402937
hawker,Golden Mile Food Centre,103.863877368653,1.30314151533241
hawker,Holland Village Market & Food Centre,103.795151188387,1.31139686696526
hawker,Kallang Estate Market,103.884017699319,1.30734398370473
hawker,Market Street Food Centre,103.820484203624,1.44646879141296
hawker,Maxwell Food Centre,103.844747227479,1.28033142727315
hawker,Newton Food Centre,103.839562766706,1.31189240495009
hawker,North Bridge Road Market & Food Centre,103.863909336656,1.30563433652207
hawker,Pasir Panjang Food Centre,103.791619964293,1.27569879325348
hawker,Serangoon Garden Market,103.866162163042,1.36273680777483
hawker,Sembawang Hill Food Centre,103.829018145089,1.37231949296183
hawker,Taman Jurong Market & Food Centre,103.721619258973,1.33468266452814
hawker,Tanglin Halt Market,103.797737980247,1.30054407507427
hawker,Tiong Bahru Market,103.832421566287,1.28468599168094
hawker,Zion Riverside Food Centre,103.830973358549,1.29231114800655
hawker,ABC Brickworks Market & Food Centre,103.808131274161,1.28688297261475
hawker,Albert Centre Market & Food Centre,103.854115779087,1.30110201573423
hawker,Alexandra Village Food Centre,103.804492637648,1.28630594274136
hawker,Blk 1 Jalan Kukoh,103.839934168065,1.2882310152805
hawker,Blk 105 Hougang Ave 1,103.890130407955,1.35408273910145
hawker,Blk 11 Telok Blangah Crescent,103.818651524334,1.27736813225761
hawker,Blk 112 Jalan Bukit Merah,103.82601329621,1.28000480135122
hawker,Blk 115 Bukit Merah View,103.821823256087,1.28550445567433
hawker,Blk 117 Aljunied Ave 2,103.88702414,1.32064636781982
hawker,Blk 127 Toa Payoh Lorong 1,103.844733922883,1.33804625287728
hawker,Blk 137 Tampines Street 11,103.944629422828,1.34537347373749
hawker,Blk 159 Mei Chin Road,103.802903871889,1.29323624443735
hawker,Blk 16 Bedok South Road,103.935539171613,1.32055221938711
hawker,Blk 163 Bukit Merah Central,103.816939544137,1.28388120820457
hawker,Blk 17 Upper Boon Keng Road,103.87162041674,1.31502841514731
hawker,Blk 20 Ghim Moh Road,103.78823030662,1.31099663218896
hawker,Blk 208B New Upper Changi Road,103.930570304559,1.32478236985627
hawker,Blk 210 Toa Payoh Lorong 8,103.85487256444,1.34021600857625
hawker,Blk 216 Bedok North Street 1,103.933217970746,1.32706274205746
hawker,Blk 22 Toa Payoh Lorong 7,103.857003709119,1.33538261333779
hawker,Blk 226D Ang Mo Kio Ave 1,103.839152274224,1.36680096218071
hawker,Blk 226H Ang Mo Kio Street 22,103.840157741978,1.36717874094695
hawker,Blk 254 Jurong East Street 24,103.73773841183,1.34348818520494
hawker,Blk 29 Bendemeer Road,103.863020922593,1.31921667890113
hawker,Blk 320 Shunfu Road,103.837031862103,1.35200745401591
hawker,Blk 341 Ang Mo Kio Ave 1,103.84806729788,1.36384516921846
hawker,Blk 347 Jurong East Ave 1,103.731703838354,1.34541698312776
hawker,Blk 353 Clementi Ave 2,103.770919561136,1.31437917978956
hawker,Blk 36 Telok Blangah Rise,103.822028389533,1.27260703348585
hawker,Blk 37A Teban Gardens Road,103.742748119105,1.32083109341424
hawker,Blk 409 Ang Mo Kio Ave 10,103.855288297631,1.36265410749321
hawker,Blk 44 Holland Drive,103.792773769341,1.30811780015992
hawker,Blk 448 Clementi Ave 3,103.764517192874,1.31331969319644
hawker,Blk 453A Ang Mo Kio Ave 10,103.856351467175,1.36824053741879
hawker,Blk 49 Sims Place,103.879309854774,1.31703502375324
hawker,Blk 4A Eunos Crescent,103.904256478426,1.32033126010096
hawker,Blk 4A Jalan Batu,103.883909473726,1.30236034827101
hawker,Blk 4A Woodlands Centre Road,103.769799867546,1.43903831450662
hawker,Blk 502 West  Coast Drive,103.759080462665,1.31193388099262
hawker,Blk 503 West Coast Drive,103.759751405542,1.31180308926424
hawker,Blk 505 Jurong West Street 52,103.718443677825,1.34965729130746
hawker,Blk 50A Marine Terrace,103.915737035334,1.30572973591916
hawker,Blk 51 Old Airport Road,103.88580870609,1.3082518471287
hawker,Blk 511 Bedok North Street 3,103.930581522776,1.33321993297265
hawker,Blk 527 Ang Mo Kio Ave 10,103.854457955288,1.37277209302753
hawker,Blk 538 Bedok North Street 3,103.924621314971,1.3320672771228
hawker,Blk 58 New Upper Changi Road,103.941125277547,1.32420087334002
hawker,Blk 6 Tanjong Pagar Plaza,103.843167023188,1.27661464758769
hawker,Blk 628 Ang Mo Kio Ave 4,103.840628087484,1.38098761665454
hawker,Blk 630 Bedok Reservoir Road,103.914190840298,1.33277279217212
hawker,Blk 69 Geylang Bahru,103.870005014547,1.32146311046779
hawker,Blk 7 Empress Road,103.805636419935,1.31624574394049
hawker,Blk 724 Ang Mo Kio Ave 6,103.846510310202,1.37217258545171
hawker,Blk 726 Clementi West Street 2,103.764250748436,1.30381073184127
hawker,Blk 74 Toa Payoh Lorong 4,103.852003509176,1.3345507487214
hawker,Blk 75 Toa Payoh Lorong 5,103.852956988062,1.336020767662
hawker,Blk 79 Redhill Lane,103.818349792057,1.2878470282227
hawker,Blk 79 Telok Blangah Drive,103.807621587927,1.27336490550026
hawker,Blk 80 Circuit Road,103.887102669236,1.32783414615937
hawker,Blk 82 Telok Blangah Drive,103.807900337544,1.27389076775628
hawker,Blk 84 Marine Parade Central,103.906288669909,1.30228520968842
hawker,Blk 85 Bedok North Street 4,103.938794058948,1.33203125668687
hawker,Blk 85 Redhill Lane,103.818311195307,1.28730751501552
hawker,Blk 89 Circuit Road,103.885438842474,1.32357971400582
hawker,Blk 90 Whampoa Drive,103.854996183556,1.32306493801159
hawker,Blk 93 Toa Payoh Lorong 4,103.849513448853,1.33847469611073
hawker,Blks 13/14 Haig Road,103.895609544204,1.31514204972284
hawker,Blks 160/162 Ang Mo Kio Ave 4,103.840329743826,1.37858940772641
hawker,Blks 1A/ 2A/ 3A Commonwealth Drive,103.796796430683,1.30164998775
hawker,Blks 2 & 3 Changi Village Road,103.988091826679,1.38965834308064
hawker,Blks 20/21 Marsiling Lane,103.777210383669,1.44383165244262
hawker,Blks 221 A/B Boon Lay Place,103.712800680774,1.34522406568893
hawker,Blks 22A/B Havelock Road,103.829362888759,1.28775546193797
hawker,Blks 79/79A Circuit Road,103.88491977038,1.32550687436813
hawker,Blks 91/92 Whampoa Drive,103.857752875203,1.32471579654689
hawker,Chinatown Market,103.843238518071,1.2822749605271
hawker,Chong Pang Market & Food Centre,103.830029543751,1.42961544508137
hawker,Hong Lim Market & Food Centre,103.845823802043,1.28529907736773
hawker,Kovan Market & Food Centre,103.886055368064,1.35908384091048
hawker,Pek Kio Market & Food Centre,103.850232935162,1.31613128029458
hawker,People's Park Food Centre,103.842578771054,1.28485860802646
hawker,Tekka Market,103.850611312978,1.30617705352996
mall,100 AM,103.84347073661,1.27458821795426
mall,313@Somerset,103.838360664485,1.30101436404056
mall,Aperia,103.86431321816,1.3104736675734
mall,Balestier Hill Shopping Centre,103.842571612968,1.32559594839311
mall,Bugis Cube,103.855635339249,1.2981408343975
mall,Bugis Junction,103.855411173758,1.29911287475873
mall,Bugis+,103.855172625542,1.30095171530648
mall,Capitol Piazza,103.851261982149,1.29307884763132
mall,Cathay Cineleisure Orchard,103.836463810773,1.30146393496315
mall,The Centrepoint,103.840034074858,1.30145045537088
mall,City Square Mall,103.856626855768,1.3113827185663
mall,CityLink Mall,103.854316064564,1.29260349413333
mall,Duo,103.85840168774,1.29953434891664
mall,Far East Plaza,103.833818438639,1.30730468891062
mall,Funan,103.849989790085,1.29134759697794
mall,Great World City,103.832022146655,1.29342272650003
mall,HDB Hub,103.84984949662,1.33201387005935
mall,ION Orchard,103.831988903795,1.30399286856099
mall,Junction 8,103.848553703258,1.35017243180201
mall,Knightsbridge,103.836283923443,1.3029831225958
mall,Liat Towers,103.830722581168,1.30508722710852
mall,Lucky Plaza,103.834005158524,1.3044637897474
mall,Marina Bay Sands,103.861005919029,1.28466203640592
mall,The Shoppes at Marina Bay Sands,103.85898228297,1.28423496027027
mall,Marina Bay Link Mall,103.854284863268,1.28003113385646
mall,Marina Square,103.857048715656,1.29159480494333
mall,Millenia Walk,103.860302888543,1.29267926922552
mall,Ngee Ann City,103.834899517575,1.3022727300848
mall,Orchard Central,103.839434733899,1.30083890839245
mall,Orchard Gateway,103.838868886519,1.30160116957544
mall,Orchard Plaza,103.841150144584,1.30125729409965
mall,Midpoint Orchard,103.838659766022,1.30178778502846
mall,Palais Renaissance,103.829588045188,1.30665484543191
mall,People's Park Centre,103.843861556498,1.28564781446701
mall,People's Park Complex,103.842590753293,1.28404487854559
mall,Plaza Singapura,103.845067272938,1.30082071769235
mall,Raffles City,103.853333627297,1.29397670992871
mall,Scotts Square,103.833074706219,1.30579942993543
mall,Sim Lim Square,103.853031869482,1.30290658774258
mall,Singapore Shopping Centre,103.844628721032,1.28649701803051
mall,The South Beach,103.856276242094,1.29498804392056
mall,Square 2,103.850812513482,1.27822949964567
mall,Sunshine Plaza,103.850556061949,1.30046735366415
mall,Suntec City,103.857307495824,1.29350132535558
mall,Tanglin Mall,103.823883490852,1.30485342102105
mall,Tanjong Pagar Centre,103.842393171342,1.2755961982077
mall,Tekka Centre,103.85013440636,1.30671098278725
mall,The Adelphi,103.851184338699,1.29118503658447
mall,The Paragon,103.835857545469,1.30387230879994
mall,Tiong Bahru Plaza,103.827015256194,1.28645889472825
mall,The Poiz,103.868659488195,1.33202729656296
mall,Thomson Plaza,103.83030941613,1.35436282723449
mall,United Square,103.843611443038,1.31719450988559
mall,Thomson V,103.835564729862,1.35319495337208
mall,Velocity@Novena Square,103.844033569199,1.31978949204523
mall,Wheelock Place,103.830642027577,1.30467628730252
mall,Wisma Atria,103.833205752808,1.30370477426147
mall,Zhongshan Mall,103.846554377679,1.32694504484324
mall,Bedok Mall,103.92918919889,1.32475054237912
mall,Century Square,103.943727694121,1.35227804040128
mall,Our Tampines Hub,103.940598001519,1.35218046898785
mall,Changi City Point,103.962946043413,1.33408363820793
mall,Downtown East,103.955689449482,1.3765903645695
mall,Djitsun Mall Bedok,103.929554495615,1.32611970329469
mall,Eastpoint Mall,103.953024618234,1.34270592355576
mall,Jewel Changi Airport,103.989989170512,1.36006289399606
mall,Katong Shopping Centre,103.901040040407,1.30382040183737
mall,Katong Square,103.904617722414,1.30477683917233
mall,Kallang Wave Mall,103.873149707591,1.30307515150401
mall,Leisure Park Kallang,103.876152665088,1.30222177381282
mall,i12 Katong,103.905043928938,1.30522306203042
mall,Parkway Parade,103.905279491524,1.30106975506311
mall,Paya Lebar Square,103.892580778242,1.31881486980278
mall,Roxy Square,103.904051120306,1.30432599904899
mall,Singpost Centre,103.894894915962,1.31899666903663
mall,Tampines 1,103.933979581362,1.34633535808984
mall,Tampines Mall,103.944785968039,1.35259361362837
mall,White Sands,103.949733905672,1.37228761596577
mall,City Plaza,103.893508573389,1.31470866320366
mall,Elias Mall,103.94233582068,1.37790533095468
mall,Loyang Point,103.964635610477,1.36706634197242
mall,888 Plaza,103.795316064775,1.43711856085535
mall,Admiralty Place,103.801541769047,1.44042008562425
mall,AMK Hub,103.848464053097,1.36925511350953
mall,Canberra Plaza,103.830345369213,1.44349544527985
mall,Causeway Point,103.785795816344,1.43590007901468
mall,Woodlands Civic Centre,103.786816106255,1.43515024446739
mall,Broadway Plaza,103.845949444498,1.37193729131781
mall,Djitsun Mall,103.929554495615,1.32611970329469
mall,Jubilee Square,103.847837565378,1.37178558575829
mall,Junction 8,103.848553703258,1.35017243180201
mall,Junction Nine,103.84166098599,1.4331228398318
mall,Marsiling Mall,103.77988189197,1.43354318137534
mall,Northpoint City,103.836419992398,1.42822560922688
mall,Sembawang Shopping Centre,103.824832415833,1.44185325264629
mall,Sun Plaza,103.819523749458,1.44823113453257
mall,Vista Point,103.794104795966,1.4308011390122
mall,Wisteria Mall,103.841317292608,1.41798969122298
mall,Woodlands Mart,103.798162285805,1.44564787003157
mall,Woodlands North Plaza,103.790548015512,1.44275334327795
mall,Waterway Point,103.902172248289,1.40637933605759
mall,Compass One,103.89507054384,1.39205314156706
mall,Hougang Mall,103.893788141349,1.37248308734511
mall,Heartland Mall,103.885169070198,1.35954450890401
mall,NEX,103.872296143862,1.35076935257845
mall,Buangkok Square,103.881623070164,1.38433426615655
mall,Greenwich V,103.869135978173,1.38739539397015
mall,Hougang 1,103.889828868222,1.35664284566921
mall,Hougang Green Shopping Mall,103.88784708944,1.37931783499145
mall,Hougang Rivercourt,103.894742116488,1.36220591877146
mall,myVillage At Serangoon Garden,103.865159501442,1.36511490572797
mall,Northshore Plaza,103.902074379502,1.41676127156324
mall,Oasis Terraces,103.913215101343,1.40278015725693
mall,Punggol Plaza,103.913047323223,1.39423719717117
mall,Rivervale Mall,103.904471600025,1.39219777838449
mall,Rivervale Plaza,103.901988424927,1.38550420775531
mall,The Seletar Mall,103.876125507257,1.39147015374628
mall,Upper Serangoon Shopping Centre,103.878828134896,1.35348082277147
mall,Beauty World Centre,103.776539385406,1.34241264188642
mall,Beauty World Plaza,103.776259359854,1.34180018619223
mall,Bukit Panjang Plaza,103.764377765935,1.37988291404114
mall,Bukit Timah Plaza,103.778585430975,1.3386316527745
mall,Fajar Shopping Centre,103.770868459633,1.38357469942896
mall,Greenridge Shopping Centre,103.766228468185,1.38540569283271
mall,Hillion Mall,103.76382945872,1.37841165144214
mall,HillV2,103.76417292006,1.36267450828024
mall,Junction 10,103.760106974822,1.38055127973087
mall,Keat Hong Shopping Centre,103.744393648768,1.37736607441394
mall,Limbang Shopping Centre,103.743099573442,1.3920738867617
mall,Lot One,103.745238868238,1.38506992325619
mall,Rail Mall,103.768137724847,1.35773050150178
mall,Sunshine Place,103.739015486021,1.37789727709418
mall,Teck Whye Shopping Centre,103.752483841199,1.38004752975397
mall,West Mall,103.74912389291,1.35037541626109
mall,Yew Tee Point,103.746662121143,1.39705741516141
mall,Yew Tee Square,103.747188486453,1.39836942665376
mall,321 Clementi,103.764986676365,1.31200212030821
mall,The Clementi Mall,103.764423054189,1.31489619639366
mall,IMM,103.746894773008,1.33487526118006
mall,JCube,103.740187071348,1.33332312550425
mall,Jem,103.743503708169,1.33305999269581
mall,Westgate,103.742766484424,1.33415767556867
mall,Jurong Point,103.706685012926,1.3394520043632
mall,Pioneer Mall,103.697174842118,1.34169239214292
mall,The Star Vista,103.788462732266,1.30681500712523
mall,Alexandra Central,103.805283367958,1.28728320930592
mall,Anchorpoint,103.805607779399,1.28893477974497
mall,Boon Lay Shopping Centre,103.712472819666,1.34637376407877
mall,Grantral Mall,103.765147487482,1.31427043922294
mall,Fairprice Hub,103.940139392679,1.35349593581988
mall,Gek Poh Shopping Centre,103.697739629738,1.3487416466288
mall,Rochester Mall,103.788446680148,1.30540765569962
mall,Taman Jurong Shopping Centre,103.720462024278,1.33484487471259
mall,West Coast Plaza,103.76610375397,1.30358622534992
mall,Queensway Shopping Centre,103.803391140455,1.2876179255874
mrt,EUNOS MRT STATION,103.90325246673828,1.3197789515536371
mrt,CHINESE GARDEN MRT STATION,103.73259673807335,1.3423528208747444
mrt,KHATIB MRT STATION,103.83297990773832,1.4173833701535468
mrt,KRANJI MRT STATION,103.7621654109002,1.4251776987704483
mrt,REDHILL MRT STATION,103.81681667014902,1.2895627264024532
mrt,YEW TEE MRT STATION,103.74740511413792,1.3975350177934125
mrt,PIONEER MRT STATION,103.69732151293609,1.3375868822047494
mrt,COMMONWEALTH MRT STATION,103.79830451562896,1.3024387353271702
mrt,PAYA LEBAR MRT STATION,103.8930603552516,1.318112082295278
mrt,SIMEI MRT STATION,103.95337169417571,1.343202894930727
mrt,TAMPINES MRT STATION,103.945148688649,1.3533013563424343
mrt,ADMIRALTY MRT STATION,103.80098800081232,1.4405850010854109
mrt,YISHUN MRT STATION,103.8350050461946,1.4294430808108003
mrt,PASIR RIS MRT STATION,103.9492681182454,1.37298377357949
mrt,CLEMENTI MRT STATION,103.76529887432638,1.3149544924235943
mrt,ALJUNIED MRT STATION,103.88290604466044,1.316432611657838
mrt,ANG MO KIO MRT STATION,103.84993299388984,1.3693473037885635
mrt,EXPO MRT STATION,103.96154821070796,1.3345497778378117
mrt,CHOA CHU KANG MRT STATION,103.74434094618154,1.3853616928288095
mrt,JURONG EAST MRT STATION,103.7422865440047,1.3331526198940653
mrt,QUEENSTOWN MRT STATION,103.805884333892,1.2948609327949876
mrt,TUAS LINK MRT STATION,103.63687867834884,1.340463765648207
mrt,GUL CIRCLE MRT STATION,103.660552955908,1.3195052149382065
mrt,WOODLANDS MRT STATION,103.78648513490744,1.4368751282107552
mrt,TUAS CRESCENT MRT STATION,103.64907547830892,1.3210265532422654
mrt,KALLANG MRT STATION,103.87138654135926,1.3114889096421625
mrt,TUAS WEST ROAD MRT STATION,103.63961405603035,1.3299890890491357
mrt,BUONA VISTA MRT STATION,103.79019153517372,1.307183466547333
mrt,DOVER MRT STATION,103.77863784163792,1.3114052929253075
mrt,SEMBAWANG MRT STATION,103.82004614054829,1.4490508212272943
mrt,KEMBANGAN MRT STATION,103.9129493883634,1.3210382488510848
mrt,BUKIT BATOK MRT STATION,103.74956676385231,1.3490341085766733
mrt,BOON LAY MRT STATION,103.70606462259596,1.3386040545032738
mrt,BUKIT GOMBAK MRT STATION,103.75189350208204,1.3587618572614455
mrt,MARSILING MRT STATION,103.77407146126208,1.4325144206356422
mrt,BEDOK MRT STATION,103.92998449462056,1.3239799688877467
mrt,JOO KOON MRT STATION,103.67837514285053,1.32771717309168
mrt,LAKESIDE MRT STATION,103.72094926847876,1.3442592493946972
mrt,TANAH MERAH MRT STATION,103.94634646062272,1.3271871345383557
mrt,YIO CHU KANG MRT STATION,103.84494728975424,1.3817560461130038
mrt,OASIS LRT STATION,103.91272735563076,1.402286677493708
mrt,SAM KEE LRT STATION,103.90483155051864,1.409612685086607
mrt,FARMWAY LRT STATION,103.88930481043572,1.3971701964580427
mrt,KUPANG LRT STATION,103.88125622197416,1.3982128283971755
mrt,RENJONG LRT STATION,103.8905394271551,1.3867239215280005
mrt,BUKIT PANJANG LRT STATION,103.76301363378538,1.377909897982203
mrt,FAJAR LRT STATION,103.7708085825086,1.3845207961752235
mrt,PUNGGOL LRT STATION,103.90241191198471,1.4051947013024328
mrt,SAMUDERA LRT STATION,103.90215631639084,1.4159017194387675
mrt,NIBONG LRT STATION,103.90031381767317,1.4118704584532271
mrt,SOO TECK LRT STATION,103.8972096503174,1.4050885848539645
mrt,KADALOOR LRT STATION,103.91648666197332,1.3995848527611094
mrt,CORAL EDGE LRT STATION,103.9125808548093,1.393909226117486
mrt,THANGGAM LRT STATION,103.87563515645569,1.3973181549952225
mrt,KEAT HONG LRT STATION,103.74905551939932,1.378602765983026
mrt,DAMAI LRT STATION,103.90860354364428,1.4052348361719906
mrt,COVE LRT STATION,103.9059619440764,1.3992819850199325
mrt,RIVIERA LRT STATION,103.91616605898768,1.3945244957690124
mrt,SENJA LRT STATION,103.76236722595048,1.3826922958241612
mrt,JELAPANG LRT STATION,103.76450333815882,1.386703025013921
mrt,PETIR LRT STATION,103.766668960223,1.3777503338172217
mrt,TECK WHYE LRT STATION,103.75371223219943,1.3766846794439074
mrt,CHOA CHU KANG LRT STATION,103.7445537312411,1.3848363599658255
mrt,SOUTH VIEW LRT STATION,103.74529180004232,1.380298287217282
mrt,LAYAR LRT STATION,103.88002960034964,1.392079838772599
mrt,KANGKAR LRT STATION,103.90217398876578,1.3839789018335389
mrt,MERIDIAN LRT STATION,103.9089502169662,1.3969120530632737
mrt,CHENG LIM LRT STATION,103.89379718083607,1.3962776313358083
mrt,PUNGGOL POINT LRT STATION,103.90665079046616,1.4168485204957677
mrt,SUMANG LRT STATION,103.89855845404988,1.4084524256476956
mrt,FERNVALE LRT STATION,103.87630861136844,1.391885887744102
mrt,TONGKANG LRT STATION,103.88584414990768,1.3893479529596946
mrt,PENDING LRT STATION,103.77127017861224,1.376142882785048
mrt,TECK LEE LRT STATION,103.90657762270187,1.4127708938635477
mrt,BANGKIT LRT STATION,103.77264907257116,1.3800178972420925
mrt,BAKAU LRT STATION,103.90543910424007,1.3880927037751092
mrt,RUMBIA LRT STATION,103.90597359531088,1.391468496838555
mrt,COMPASSVALE LRT STATION,103.90049245062764,1.3944930461980638
mrt,RANGGUNG LRT STATION,103.89753716196952,1.3838854419159177
mrt,PHOENIX LRT STATION,103.75803409838647,1.3786188444529008
mrt,SEGAR LRT STATION,103.76959839678024,1.387772130860874
mrt,SENGKANG LRT STATION,103.89544258366438,1.3916093638162654
mrt,BRAS BASAH MRT STATION,103.8506673717781,1.2968616865276132
mrt,MACPHERSON MRT STATION,103.8902870313661,1.326345371661258
mrt,CITY HALL MRT STATION,103.85258589234417,1.2929362428460929
mrt,TAMPINES EAST MRT STATION,103.95463446292943,1.356191483037002
mrt,TAMPINES WEST MRT STATION,103.93843697135333,1.34551530530169
mrt,GEYLANG BAHRU MRT STATION,103.8719006257064,1.3215058380176048
mrt,BENDEMEER MRT STATION,103.8629779874744,1.313672232544496
mrt,BENCOOLEN MRT STATION,103.85038425491643,1.2988642704173592
mrt,HARBOURFRONT MRT STATION,103.82144306908803,1.265472639862096
mrt,KENT RIDGE MRT STATION,103.78442746062646,1.2934960617448048
mrt,PUNGGOL MRT STATION,103.90207263840692,1.4045467277879482
mrt,TANJONG PAGAR MRT STATION,103.8458642293472,1.27652124669304
mrt,ONE-NORTH MRT STATION,103.78745750783104,1.299759878591986
mrt,STADIUM MRT STATION,103.8753503351786,1.302840629633224
mrt,BUGIS MRT STATION,103.85570641401658,1.3004650763152503
mrt,SOMERSET MRT STATION,103.83907516234385,1.3002600550654384
mrt,ORCHARD MRT STATION,103.83224145206746,1.3039810124368771
mrt,JALAN BESAR MRT STATION,103.85547701633922,1.3054036422232524
